text,emotion,pred_label,confidence,error_type
bro mentoring theres not super cool spot to be had! Buttttttttttt I did make some brownies and a !!!!,surprise,joy,0.54676014,surprise → joy
"Baby girl scraped her leg in a bike accident today. Couldn't find any gauze, had to use panty liners and medical tape to patch her up.",surprise,sadness,0.64753884,surprise → sadness
is the weapon of choice used by bullies &amp; cowards who feel powerless-2 control &amp; manipulate others 4 their own means,sadness,anger,0.5518641,sadness → anger
"This sounds really predictable and usual but it was absolutely heart-rending at the time. My first lover (I was 15) just rang up one day and announced that he had found another woman. I never saw him again and it hurt because I was positive that it was \TRUE LOVE\"" !!""",sadness,surprise,0.39058533,sadness → surprise
Learning count on me in guitar!,surprise,joy,0.6792631,surprise → joy
i feel like i will not be faithful to who i am until i can roll up my sleeves and not only touch the poverty around me but embrace it,neutral,joy,0.50121456,neutral → joy
that wasn't nice,sadness,anger,0.36493847,sadness → anger
thats howya pose ta do get cake (twitpic),joy,surprise,0.44838902,joy → surprise
Aww I heard I just missed you two &amp; !,joy,sadness,0.444464,joy → sadness
Apple expect me to go back for a 4th time! Because they don't have any iPods in stock and have to order one. Mugs!,anger,sadness,0.36359093,anger → sadness
everything's coming together !!! let the countdown begin 8 days left :),surprise,joy,0.6979311,surprise → joy
That sucks mmmnnn...I'm thinking...I would've said the self tanner or a really good concealer...I'm stuck,anger,sadness,0.4693855,anger → sadness
Look what I got for lunch today!! A cheese empanada and tequeï¿½os Venezuelan style!!!! I miss this soooo much!,love,surprise,0.34660107,love → surprise
When my present boyfriend asked me initially to go out with him I had waited a long time for this to occur.,joy,surprise,0.5938581,joy → surprise
i suddenly feel super hungry and i think its tied to whatevers going on inside me,anger,love,0.59756225,anger → love
too complex and too much to consider on a day like today. Monday off. My brain is back tomorrow,surprise,sadness,0.48151398,surprise → sadness
"Yeah, I'm not really feeling it either. Of course, I don't like the movie line, I wish that we were getting more Animated.",love,sadness,0.5721373,love → sadness
"Oh and this is the kicker, I'm still not packed :) so no sleep when I get off either",joy,sadness,0.3873735,joy → sadness
would really like to not be at work and instead taking a nap.,neutral,sadness,0.56640047,neutral → sadness
t march! you are now my fav!! LMAO :D :$ 18.. wow! :D xx btw embrace your yrz!! ; ) 18 is young!!!! xx,joy,surprise,0.4788233,joy → surprise
just got a subponea,joy,surprise,0.3386181,joy → surprise
All right . Just give me the ticket .,sadness,joy,0.51351625,sadness → joy
i cant do it I honestly dont think Im going to make it through the rest of the idk how to do the outline,surprise,sadness,0.4517398,surprise → sadness
"On way to exam, very very nervous bah",anger,sadness,0.8584078,anger → sadness
a sour looking man was beating his thin dog in remuera,neutral,sadness,0.31487718,neutral → sadness
How can you live without job in the future ?,neutral,sadness,0.6625736,neutral → sadness
I dont understand why he's doing this,surprise,anger,0.47016054,surprise → anger
People can act so sometimes. Through their and their mind becomes clouded.,anger,sadness,0.67444015,anger → sadness
looking forward to it. we're sitting at the bar.,surprise,joy,0.68619084,surprise → joy
"Seems ridiculous. People rarely search via domain, and the amount of domain combinations/word variations is astronomical.",sadness,anger,0.5101163,sadness → anger
I don't want this fucking christmas whitout you !,sadness,anger,0.89414954,sadness → anger
Scott's leaving now,surprise,sadness,0.71839327,surprise → sadness
"Good luck! If I remember right, everything in England is a rip off, anyway! And next time, write me back! Haha",anger,joy,0.55583197,anger → joy
You seem Cool,sadness,joy,0.65102386,sadness → joy
Took another quiz! who does that during break?! they're such a drag -__- is my best motivation,anger,joy,0.33614716,anger → joy
i bet my haters will feel a bit annoyed by reading this,anger,neutral,0.79946095,anger → neutral
Just got back from my first session at the gym with a PT. I'm sore allread,sadness,joy,0.7467973,sadness → joy
Good night,joy,sadness,0.4243896,joy → sadness
is off to somewhere.,surprise,joy,0.48723692,surprise → joy
Thanks,sadness,joy,0.56323355,sadness → joy
?????????????????????YAY it works haha,joy,surprise,0.48087254,joy → surprise
Hahaha. Sana someone's selling the full version of &quot;Coding Workshop Photo Recovery Wizard&quot; CD! Demo mode lang eh,surprise,joy,0.41717702,surprise → joy
Happy Mums Day This is Nelly's shout out,surprise,love,0.40387386,surprise → love
Going to meet the new family I'm babysitting for... Wish I was still sleeeeping,sadness,joy,0.44591868,sadness → joy
prepared to be single for the rest of my life because I fuck everything up NothingNew,surprise,sadness,0.32479867,surprise → sadness
I read them a couple of weeks ago They work really well with the movie.,sadness,joy,0.87182677,sadness → joy
im feeling energetic this fall or winter i might take the ladder back into the garage and redo it so its safer,anger,neutral,0.973293,anger → neutral
