text,emotion,pred_label,confidence
"No, seriously you guys, I /wanted/ to kick Monday off with starwarswithaddedpants spam. Really",sadness,surprise,0.26005998
I swear like a trucker when I bake,anger,joy,0.27503824
"????, ?? sctest ????? ?? ?????, ?????? ??? ??? ????????, ?? ?? ????? ???? .",surprise,anger,0.2817376
"I went to buy a bicycle with my father. When I wanted to pay, my father took his purse and payed.",joy,anger,0.2842284
The NVIDIA ION-based Lenovo IdeaPad S12 ( ) is awesome. Fn key to left of Ctrl makes it non-starter for me though,surprise,sadness,0.28679234
"Easy. Put on a mask. Hack. Even though the cameras record you, no one can do jackshit",sadness,surprise,0.2879138
Took Leah to a play group. Guess who's still sleeping? frustrated beyond belief. He leaves for wrk in TWO hrs. GET UP &amp; B W/ L!!,surprise,anger,0.28841883
When I thought for an instant that a very good relationship with a person had finished.,sadness,joy,0.2912572
When ALL the sports&amp;clubs make ALL the practices&amp;rehearsals on the same day. Oh &amp; teachers decide to give homework&amp;tests on those days,joy,anger,0.29343882
"Yes. is quite right. Somewhere, quite probably now, a drunk Scot is attempting to separate himself from barbed wire.",joy,sadness,0.2946715
